phrase,weight
3일,28
200,14
1만,14
150,13
한국거래소,13
셀트리온,9
19,8
4일,7
서울,12
바이오주,16
5일,5
코스닥,5
바이오,5
전문가들은,5
미국,5
6일,5
뉴시스,4
20.66,4
0.66%,4
3127.2,4
투자자,5
다음,4
19 백,8
만 오,3
현재,3
과열,3
2%,3
350,3
코로나19,3
외국인,5
의약품,4
100,3
6%,3
아이진,4
11일,4
이더리움,2
이승주,2
주는,2
24,2
710억,2
코스피,2
여의도,6
아이뉴스24,2
오경선,2
2.40%,2
금융위원회는,2
-4.33%,2
7000,2
1일,2
ISM,2
미국의,2
16일,2
8000,2
재개,2
기아차,2
30일,2
3100,2
4.03%,2
8만,2
운영배심원,2
4%,2
정부,5
7500,2
삼성전자,2
SK하이닉스,4
유럽투자은행,1
EIB,1
바이오주는,1
4천,1
1.60%,1
코스,3
SK바이오사이언스,1
삼성바이오로직스,3
21.64,1
2.20%,1
아시아타임즈,1
이지영,1
12,1
파이낸셜뉴스,1
1조,1
더팩트ㅣ,1
박경현,1
29,1
25만5500,1
6.20%,1
2.75%,1
스케어,1
10만8400,1
데일리팜,1
김진구,1
팬데믹,1
공백,1
65,1
만 공,1
제약바이오주,1
천스닥,1
제약,2
12일,2
정희영,1
1000,1
제약바이오주의,1
게임과,1
전지,1
팬데믹 사태,1
마지막,1
6878.02,1
3.53P,1
7.43P,1
-3.47%,1
2000,1
책임자,1
이데일리는,1
쿠키뉴스,1
지영,1
SK아이이테크놀로지,1
코로나19 확산,1
36,1
초이스경제,4
최원석,1
뉴욕증권거래소,1
뉴욕,5
스닥,1
0.44,1
44%,1
나스닥,1
AP 통신,1
공급관리협회,1
60,1
2021.5.3,3
신웅수,3
뉴스,1
박응진,1
전민,1
로나19,1
-19,1
3%,1
5%,1
19일,1
3.60%,1
조은아,1
바이오기업,1
제넥신,1
인트론바이오,1
셀리드,1
개인투자자가,1
24억,1
외국인투자자는,1
기관투자자는,1
항암제,1
현대바이오,1
2.17%,1
950,2
4만4700,1
KH 필,1
3000,1
28일,1
7907,1
91,1
7.16P,1
-0.98%,1
2932.93,1
5.06P,2
-1.49%,1
종근,1
만한 이,1
주식,1
전문가,1
전투개미,1
수젠텍,1
20%,1
포인트엔씨소프트,1
코로나19 대유행 ,1
18,1
오경,1
3174.26,1
31,1
류병화,1
개인투자자들은,1
삼성바이오로직스를,1
만 2104억,1
2번째,1
SK바이오사이,1
"249,500",1
"81,700",1
"105,500",1
"36,950",1
"19,300",1
"114,500",1
"80,100",1
"218,000",1
"10,250",1
"2,745",1
오리서방,1
주주,3
라이,1
10,3
코로나19 여파,1
휴마시스,1
230%,1
200%,1
에이비프로바이오,1
110%,1
앤디포스,1
64%,1
제가,1
0.6,1
7178.64,1
10.30P,1
0.65%,1
2056.2,1
30.94,1
0,1
26%,1
중소형주,1
기술성장기업부에,1
세계비즈,1
주형연,1
셀트리온헬스케어,2
셀트리온제약,2
1조7000억,1
20.17,1
셀트리온 삼형제,1
롤러코스터,1
"252,500",1
2.90%,1
2.88%,1
시청자,1
재닛 옐런,1
재무부,1
정철진,1
경제평론가,1
미국에서,1
인플레이션 논쟁,1
석학,1
유바이오로직스,2
유바이오로직스는,2
3.04%,2
4만7500,2
55.90%,1
61,1
-1.35%,1
2503.79,1
9.09P,1
-1.41%,1
13.64,1
백신,4
코로나19 백신株,1
185490,1
33%,1
무료체험,1
코로,1
3200,1
8만1200,1
반도체,2
5.38%,1
10일,1
한국,1
1.63%,1
3249.3,1
20일,1
3220.7,1
기관투자자와,1
중국,1
55.90%,1
이영란,3
3160,1
대만,1
3138,1
15만,1
그분,1
명승부사를,1
하나님을,1
지옥,1
성경,1
씨젠,2
소액주주,2
송파구,1
본사,1
트럭,1
천종윤,1
연임 반대 시위,1
경영진,1
경영,1
13일,2
에이치엘비,1
알테오젠,3
2차전지,1
셀트리온헬스케어는,1
0.36%,1
11만100,1
시스,1
이진영,1
대통령,1
4차산업혁명위원회는,1
서울중앙우체국,1
포스트타워,1
21,1
스카이홀,1
제22차 전체회의,1
22,1
14일,1
3150,1
바이,1
24일,1
8074.56,1
-1.45%,1
2767.81,1
346.95,1
-2.86%,1
45,1
한미 정상회담,1
과 백,1
회담,1
21일,1
백악관,1
한미 정상회,1
컨슈머타임스,2
전은정,2
비에이치,2
-4.17%,2
케이엠더블유,2
-12.02%,2
-12.52%,2
셀트,2
돈나무,2
캐시 우드,2
기술주,2
우드,4
아크인베스트,2
150%,2
300조,2
대장주,2
지금,2
증권,2
직원들이,2
NEWS1,2
