phrase,weight
한국금융지주,6
증권주,10
코스피,8
서울,7
한국거래소,6
현재,3
키움증권,5
20일,6
증권사,2
동학개미,2
27일,2
유안타증권,2
코스닥,2
10,4
71050,2
카카오뱅크,2
스탁론,2
뉴스핌,5
47040,2
5일,1
전월대,1
이 중 한,1
한화투자증권,3
2일,1
만 일,1
20%,1
에너지경제신문,1
안효건,1
30일,1
6.21P,1
0.83%,1
3147.86,1
12일,1
3135.59,1
14,1
일 만,2
2.36P,1
0.07%,1
3176.43,1
2.49%,1
105,1
4110,1
2.21%,1
3천,1
13만3천 ,1
1005,1
SK증권,1
1.95%,1
20,1
8130,1
교보증권,1
1.93%,1
160,1
1.89%,1
2천,1
10만4천 ,1
KTB투자증권,1
29,1
55.55,1
2.59%,1
"2,199.89",1
4천만,1
최선호주는,1
최선호주,1
수혜주,1
동동,1
투자자,2
증권주는,1
33,1
삼천,1
에프앤가이드,1
890억,1
1000억,1
삼성증권,2
260억,1
570억,1
미래에셋증권,2
NH투자증권,1
4,1
"8,290",1
1.34%,1
서영수,1
애널리스트,1
조한,1
이베스트투자증권,1
미래에셋,1
신문,1
앤츠랩,1
카뱅상장,1
주관사,1
미래에셋대우,1
한국투자증권,1
암호화폐,1
서학개미,1
미국,4
증권거래위원회,1
SEC,1
리 첸슬러,1
골든클럽,1
다음,1
26일,1
고홍주,1
28일,1
뉴스,1
김학선,1
유남석,1
헌법재판관,1
종로구,1
헌법재판소,1
대심판정,1
헌재,1
김연순,1
한국맥도날드의,1
햄버거병,1
검찰,1
맥도날드,1
햄버거,1
서울중앙지검,1
김형수,1
3.35%,1
한국,1
맥도날드의,1
2.72%,1
1.21%,1
대우건설,1
1.07%,1
현대건설,1
GS건설,1
HDC현대산업개발,1
건설,1
0.7,1
0.9,1
보험주,1
지방은행주는,2
0.21,1
0.34,1
생명보험주,1
23조4천억 ,1
5.1,1
3일,1
10일,3
시사저널E,1
이승용,1
세조,2
11,1
과 공,3
1조,1
52.1,2
249.3,1
13,2
1.63%,1
"3,249.30",1
외국인,1
3300,1
기업에,1
FETV,1
이가람,1
13만4500,1
18일,1
12만6000,1
6%,1
원주,1
이순철,1
강원,1
원주시는,1
코로나19,1
19,1
소상공인의,1
원주시청 청사,1
김지현,1
유력주자,2
이재명,1
경기,1
사가,1
윤석열,1
이 경,1
사는,1
여의도,1
중소기업중앙회,1
25일,1
603억,1
481억,1
배상희,1
24일,1
홍콩,4
0.16%,1
중국,2
0.57%,1
10641.40,1
