phrase,weight
중국,23
테슬라,17
홍콩,23
서울,16
상하이,9
모터쇼,9
차주,9
3일,6
뉴시스,14
이재준,14
사도,6
세자가,6
정조,6
어머니,6
화성,6
김치,6
26일,5
미국,15
자동차,6
전기차,7
20일,5
기습 시위,4
인포스탁데일리,3
5일,4
29일,3
19,8
시 공안국,3
중국이,3
30일,3
반도체,2
현대차,2
기아,2
코스,2
검찰,2
외국인,2
한국거래소,4
초이스경제,2
이영란,2
연방공개시장위원회,2
FOMC,2
뉴욕,7
64.97,2
항셍,7
금융산업공익재단,2
녹색병원,2
코스피,2
21일,4
부스,2
완성차,1
투자자,2
애널리스트,1
5380,1
270,1
20%,1
426,1
2000만,1
-2021,1
4,1
원세영,1
에디터,1
네이버,1
인포스탁데일리가,1
코스피 3217,1
3217.53,1
0.99%,1
태영건설,1
만 사,1
이재규,1
4일,4
천경,1
충북,1
옥천경찰서는,1
차량,2
범퍼,1
50,1
검경,1
경찰,1
21.64,1
2.20%,1
961.81,1
박범준,1
1조,1
200,1
150,1
여의도,1
직원들이,2
3170,1
조 바이든,1
외국,1
3200,1
27,1
28일,1
회의,1
뉴스,1
조윤형,1
정은지,1
피의자를,1
6일,5
박정도,1
국토교통부는,1
ZEB,1
유럽,2
영국,2
100,2
런던,3
23일,1
24.56,1
0.35%,1
6963.12,1
60%,2
2023,1
홍남기,1
정부서울청사,1
0.23%,1
20.16,1
0.19%,1
장(張),1
1.28%,1
112.25,1
1.04%,1
이사장실,1
원진재단,1
노동자,1
4억,1
이주아동,1
업무 협약식을,1
36,1
협약식을,1
의사,1
아시아타임즈,5
한숙경,1
전남,1
고흥군,1
납부자들의,1
납부의무자가,1
테슬라 전시장에서,1
공안국,1
소비자는,1
소비자,1
펑파이,1
텅신,1
상하이 모터쇼,1
22일,1
중국중앙(,1
)TV,1
허난성,1
시장감독국,1
30,1
시장,1
감독총국,1
파이낸셜뉴스,1
코스닥,1
아시아,1
인도,1
코로나19,5
1.76%,1
고객에게,1
정부의,1
글로벌타임스,1
196.87,1
0.68%,1
80.64,1
0.73%,1
159.83,1
0.54%,1
78.2,1
0.71%,1
0.4,1
상하이모터쇼,1
헝다자동차,1
BMW,1
헝다차,1
자동차를,1
소비라이프,1
김도완,1
소비자기자,1
온투업,1
은행,1
중국에,2
ADP,2
고용자,2
쇼핑몰,1
로봇,1
기고자,2
한국정경신문,2
나스닥,2
소상공인,1
금융위원회,1
금융감독원은,1
코로나19 피해,1
신한금융,1
2%,1
신한금융지주는,1
5억,1
바젤Ⅲ,1
강성규,1
평택시는,1
11,1
12일,4
안개분수,1
시민정원,1
실외정원은,1
정원,1
LG화학,2
10일,3
7일,1
6.03,1
0.08%,1
천원기,1
SUV,2
폭스바겐,1
캐딜락,1
지프,1
독일,1
0.78%,1
125.02,1
1.20%,1
60.11,1
0.21%,1
64.37,1
0.62%,1
차주의,1
발 시위,1
중국에서,1
30%,1
2만5천845,1
27%,1
부산,1
초등학교,1
도로,1
자녀를,1
학부모,1
승용차,2
차로,1
지금,1
학교,1
도로교통법,1
농협은행,2
14일,2
154.02,1
0.60%,1
18.17,1
0.18%,1
5.25%,1
차량의,2
고속도로,2
형사,2
차량을,2
운전자,6
만일,2
남성,2
이유진,2
13일,3
미국에서,1
중국의,1
512.37,1
1.82%,1
아이뉴스24,1
24,1
이효정,1
25만,1
화물차,2
개인,1
업자,1
13,1
임재덕,1
스웨덴,1
일렉트로룩스는,1
이벤트는,1
일렉트로룩스,1
식기세척기에,1
고객,1
김상희,1
전주시는,1
2억,1
전주,2
육묘장,1
도도동,1
득룡교,1
2021,1
전군도로,2
벚꽃길,1
26,1
국도 26호선,1
군산,1
308.90,1
1.11%,1
64.96,1
0.63%,2
19일,1
용궁,1
1.7%,1
다우존스,1
180.32,1
76.18,1
0.72%,1
5.17%,1
주도주,2
논쟁,2
24일,2
삼성전자,2
600,2
0.75%,2
8만100,2
