phrase,weight
철강,33
KG동부제철,15
중국,14
현대제철,13
포스코,23
한국거래소,13
세아베스틸,10
27일,7
동국제강,8
POSCO,11
4일,5
철강주,5
조한,7
1일,4
현재,7
외국인,9
11일,7
한국철강,3
머니투데이방송,3
30일,3
자동차,4
19,4
서울,6
29일,3
박준현,3
정부,3
30,3
철광석,5
10일,4
19 백,2
2.31%,2
37만6500,2
중국의,3
앵커,2
4020,2
에프앤가이드,2
삼현철강,2
문배철강,2
2.11,2
0.07%,2
3215.42,2
중국이,2
포스코강판,7
코스피,2
유튜브,2
뉴스핌,2
후보자,2
여의도,2
2021.05.04,2
인도,2
10,4
5.60%,2
23일,2
아이뉴스24,3
오경선,3
세아제강,3
지금,4
대동스틸,2
윤유석,2
박윤진,2
백신,1
동동,1
투자자,1
스탁론,2
5.19%,1
2만5350,1
3.64%,1
1만1400,1
2.11%,1
4.36%,1
2만5150,1
4.09%,1
1만1450,1
1.85%,1
마켓드라이브,1
예민수,1
박민영,1
마켓포인트,1
2200,1
4.23%,1
5만4200,1
26,1
전주,2
43.37,1
-4.20%,1
983.45,1
7375억,1
3438억,1
2980억,1
캐리소프트,1
17.03%,1
3100,1
2만1300,1
200,1
39.22%,1
2020,1
코로나19 여파,1
20일,8
3.63%,1
2만1400,1
2.64%,1
1만1650,1
고려제강,1
2.36%,1
2만6000,1
1.21%,1
21일,3
5.37%,1
2만2550,1
53,2
1000,1
16.67%,1
6980,1
아시아타임즈,2
김지호,1
0.77,1
0.02%,1
3218.3,1
유가증권,1
한국,2
제일재경,1
재정부는,1
열연,1
냉연,1
146,1
13%,1
5000,1
8.99%,1
6만600,1
FOMC 회의를,1
3210,1
일 만,1
1030,1
HTTP://MTN.CO.KR,1
케이블,1
최상수,1
박준영,1
해양수산부,1
국회,1
인사청문회,1
KILROY023@NEWSPIM.COM,1
23,1
영종도,1
백인혁,1
첸나이 국제공항,1
인천,1
천 중구,1
중구,2
인천국제공항,1
교민,1
입국장에서,1
DLSGUR9757@NEWSPIM.COM,1
9757,1
전문가들은,1
경이,2
동양철관,1
12.54%,1
180,1
"1,615",1
7.16%,1
KISCO홀딩스,1
6.82%,1
세아제간,1
유에스티,1
5.04%,2
4.68%,1
등도 강,1
8일,1
33만1500,1
21.40%,1
94.70%,1
84.70%,1
32.50%,1
22.60%,1
대한민국,1
토마토TV,1
운용역,1
토마토투자,1
대한제강,5
코스닥,1
11,2
18.41%,1
33500,1
2만1550,1
1만8200,1
1열,1
철소,1
연합뉴스,1
친환경 정책,1
데일리한국,3
안경달,3
3200,1
1020,1
조세,1
미국,1
3203.25,1
45,1
12.77%,1
6만2천700,1
2.26%,1
2.42%,1
1.93%,1
1.72%,1
한국철강협회,1
16일,2
열연강판,1
래브,1
101만,1
2008,1
44,1
하이스틸,1
24.29%,1
3천940,1
동양철관도,1
17.27%,1
1천935,1
43%,1
9조6500억,1
584%,1
1조4080억,1
ABS,1
PVC,1
개인투자자들이,1
28일,1
염승환,1
이베스트투자증권,1
공매도로,1
KG동부제철우는,1
29.96%,1
4만,1
17만,1
3500,1
17.31%,1
3150,1
22.36%,1
NI스틸,1
29.99%,1
380억,1
253.50%,1
8184억,1
17%,1
관계자,1
코로나19,1
합금강,1
1.82%,1
5389.49,1
13.97%,1
10만8500,1
11.71%,1
9.62%,1
0.34,1
휴스틸,2
3.00%,1
철근,1
41만3500,2
52,3
40,2
1.23%,2
40만2000,2
만 40만,2
24,1
15.44%,1
1200,1
8970,1
892억,1
1007,1
500,1
리서치알음,1
동양에스텍,1
최성환,1
철강주는,1
4153.56,1
6152.46,1
구조,2
기업시민,2
인플레이션,1
1조,2
2조,1
한국경제TV,1
대표파트너,1
최승욱,1
김종철,1
김진욱,1
와우넷,1
파트너,1
곽지문,1
12일,6
4.05%,1
7만7000,1
2.62%,1
3만,1
5250,1
2.56%,1
2만4050,1
1.66%,1
OOOO,2
김태훈,1
상해,1
로이터통신,1
8.60%,1
13,1
6000,1
8.11%,1
8만,1
8만4300,1
20%,1
초이스경제,2
이영란,2
3160,1
뉴욕,3
대만,2
3138,1
뉴시스,2
이재준,2
20.91,1
61%,1
3462.75,1
98.08,1
0.70%,1
1만406,1
14일,3
5.32%,1
3만2050,1
6만,1
9700,1
4.64%,1
2만550,1
50,1
0.65%,1
38만1000,1
13일,2
118.9,1
1.89%,1
61,1
타이베이,1
환자가,1
232.27,1
0.46,1
46%,1
1만5,1
6조,1
6조7130억,1
코스피시장,1
6조3584억,1
코스닥시장,1
금융투자협회,1
4000만,1
투자,1
"366,000",1
19500,1
5.1%,1
1만7500,1
4.54%,1
36만8000,1
"111,500",1
8000,1
6.7%,1
"54,200",1
3300,1
5.7%,1
거래,1
4.28%,1
36만9천,1
고려아연,1
2%,1
5%,1
이구산업,1
6%,1
용접철강,1
15,2
5.01%,2
5646.31,2
대장주,2
5.71%,2
고용노동부는,1
노동자,2
사망사고,2
당진제철소,1
본사,3
고용부는,1
다음,1
2일,1
당진제철소를,1
감독,1
현장,1
하나은행,1
하나,1
딜링룸,1
직원이,1
연합,1
코스피 시,1
24일,2
2.23%,1
2만2950,1
0.79%,1
6만3500,1
0.52%,1
1만9500,1
동국제,1
1.46%,1
주식,1
21,1
대한,1
제강,1
20만5215,1
20만,1
4837,1
378,1
2464만6734,1
